Year;Date Of Incident;Route;Operator;Group Name;Borough;Injury Result Description;Incident Event Type;Victim Category;Victims Sex;Victims Age
2015;01/01/2015;1;London General;Go-Ahead;Southwark;Injuries treated on scene;Onboard Injuries;Passenger;Male;Child
2015;01/01/2015;4;Metroline;Metroline;Islington;Injuries treated on scene;Onboard Injuries;Passenger;Male;Unknown
2015;01/01/2015;5;East London;Stagecoach;Havering;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Male;Elderly
2015;01/01/2015;5;East London;Stagecoach;None London Borough;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Male;Elderly
2015;01/01/2015;6;Metroline;Metroline;Westminster;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Pedestrian;Female;Elderly
2015;01/01/2015;6;Metroline;Metroline;Westminster;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;8;Selkent;Stagecoach;City of London;Injuries treated on scene;Onboard Injuries;Passenger;Male;Adult
2015;01/01/2015;9;London United;London United;Hammersmith & Fulham;Injuries treated on scene;Onboard Injuries;Conductor;Unknown;Unknown
2015;01/01/2015;10;London United;London United;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Female;Elderly
2015;01/01/2015;11;London General;Go-Ahead;City of London;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;11;London General;Go-Ahead;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;11;London General;Go-Ahead;Westminster;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;12;London Central;Go-Ahead;Southwark;Injuries treated on scene;Onboard Injuries;Passenger;Female;Adult
2015;01/01/2015;12;London Central;Go-Ahead;Southwark;Reported Minor Injury - Treated at Hospital;Onboard Injuries;Passenger;Male;Child
2015;01/01/2015;12;London Central;Go-Ahead;Southwark;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Male;Elderly
2015;01/01/2015;12;London Central;Go-Ahead;Westminster;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Female;Unknown
2015;01/01/2015;14;London General;Go-Ahead;Kensington & Chelsea;Injuries treated on scene;Onboard Injuries;Passenger;Unknown;Unknown
2015;01/01/2015;14;London General;Go-Ahead;Westminster;Reported Minor Injury - Treated at Hospital;Collision Incident;Pedestrian;Unknown;Unknown
2015;01/01/2015;16;Metroline;Metroline;Brent;Taken to Hospital – Reported Serious Injury or Severity Unknown;Onboard Injuries;Passenger;Unknown;Adult
